Stock,Portfolio,Beta
VOLTAS.NS,CPI,0.6392238649898049
BOSCHLTD.NS,GDP,0.7120789491068686
BOSCHLTD.NS,IIP,0.3610228607494187
BOSCHLTD.NS,CPI,0.4823523603371942
ZFCVINDIA.NS,GDP,0.3542617152364075
ZFCVINDIA.NS,IIP,0.23873271431052376
ZFCVINDIA.NS,CPI,0.35235948096437153
ULTRACEMCO.NS,GDP,0.7816110081913038
ULTRACEMCO.NS,IIP,0.382891873094577
ULTRACEMCO.NS,CPI,0.5089363402895931
TRIDENT.NS,GDP,0.889535088293623
TRIDENT.NS,IIP,0.6822877664051675
TRIDENT.NS,CPI,0.79480677282726
TITAN.NS,GDP,0.6925709131186752
TITAN.NS,IIP,0.38896093602053927
TITAN.NS,CPI,0.57617014935998
JSWENERGY.NS,GDP,0.9403185826743261
JSWENERGY.NS,IIP,0.7632788661696345
JSWENERGY.NS,CPI,0.7691707375835298
TIMKEN.NS,GDP,0.5965196539736725
TIMKEN.NS,IIP,0.3987570556134477
TIMKEN.NS,CPI,0.610608540921548
IRB.NS,GDP,1.1841764236504693
IRB.NS,IIP,0.8296245248093953
IRB.NS,CPI,0.8897388450901889
RAMCOCEM.NS,GDP,0.7354018949764772
RAMCOCEM.NS,IIP,0.4115120996440302
RAMCOCEM.NS,CPI,0.5363603901576582
DBREALTY.NS,GDP,0.8464909239510707
DBREALTY.NS,IIP,0.7852997012127969
DBREALTY.NS,CPI,0.7917520453144081
MFSL.NS,GDP,0.7226795549693693
MFSL.NS,IIP,0.4382156490468152
MFSL.NS,CPI,0.6107065864790155
NLCINDIA.NS,GDP,0.6632629355389202
NLCINDIA.NS,IIP,0.5796480073449423
NLCINDIA.NS,CPI,0.5844353854238291
JKTYRE.NS,GDP,0.9927938851498297
JKTYRE.NS,IIP,0.6654698531137464
JKTYRE.NS,CPI,0.7601057874812637
NATIONALUM.NS,GDP,0.9033290471325529
NATIONALUM.NS,IIP,0.7166787049946516
NATIONALUM.NS,CPI,0.6931490155458334
ASHOKLEY.NS,GDP,1.0907168515389596
ASHOKLEY.NS,IIP,0.6453851192338989
ASHOKLEY.NS,CPI,0.6896116443361847
JINDALSAW.NS,GDP,1.0847968307874323
JINDALSAW.NS,IIP,0.8432994255294053
JINDALSAW.NS,CPI,0.8791545293822602
OFSS.NS,GDP,0.4727362839703237
OFSS.NS,IIP,0.27898658009087796
OFSS.NS,CPI,0.4223681309775954
SONATSOFTW.NS,GDP,0.699813699599344
SONATSOFTW.NS,IIP,0.44423327354498787
SONATSOFTW.NS,CPI,0.5485614900929586
ICICIBANK.NS,GDP,0.8388005280071271
ICICIBANK.NS,IIP,0.46194060758639255
ICICIBANK.NS,CPI,0.5378397696543511
OLECTRA.NS,GDP,0.5882839345725386
OLECTRA.NS,IIP,0.46345318417144626
OLECTRA.NS,CPI,0.5284625014574752
ACE.NS,GDP,1.0713332649325837
ACE.NS,IIP,0.7822448459089936
ACE.NS,CPI,0.8574953366128821
DRREDDY.NS,GDP,0.3784723957817863
DRREDDY.NS,IIP,0.20251720300092657
DRREDDY.NS,CPI,0.4022120331700527
YESBANK.NS,GDP,0.926012636566583
YESBANK.NS,IIP,0.6130653467383805
YESBANK.NS,CPI,0.6784138315505094
TATACOMM.NS,GDP,0.7692548864104114
TATACOMM.NS,IIP,0.48459146069504216
TATACOMM.NS,CPI,0.5787905353154921
HONAUT.NS,GDP,0.5349770555058052
HONAUT.NS,IIP,0.3062755609381567
HONAUT.NS,CPI,0.3951765161245681
RAYMOND.NS,GDP,0.9884869772134108
RAYMOND.NS,IIP,0.6857953799373941
RAYMOND.NS,CPI,0.7258011275369642
ABB.NS,GDP,0.5624736649733953
